team,total_matches
England,934430
India,855003
Australia,850310
South Africa,703614
Sri Lanka,700740
Pakistan,675308
New Zealand,646922
West Indies,633313
Bangladesh,473496
Zimbabwe,298188
Ireland,166923
United Arab Emirates,101024
Scotland,96395
Netherlands,95407
Nepal,73524
Namibia,69174
United States of America,61871
Oman,57690
Papua New Guinea,53964
Canada,50265
Kenya,49672
Hong Kong,49556
Uganda,39345
Thailand,37132
Malaysia,35760
Rwanda,32240
Bahrain,25056
Nigeria,24193
Kuwait,23635
Singapore,23527
Germany,22658
Tanzania,21530
Indonesia,21018
Botswana,20753
Qatar,17187
Malta,17166
Japan,16951
Jersey,16839
Bermuda,15670
Gibraltar,13897
Sierra Leone,13819
Bhutan,13235
Austria,12886
Saudi Arabia,12385
Malawi,12299
Bulgaria,11823
Italy,11728
Vanuatu,11595
Romania,11218
France,11211
Mozambique,11177
Norway,11072
Denmark,10907
Spain,10677
Czech Republic,10517
Luxembourg,10462
Philippines,10197
Estonia,9576
Maldives,9257
Myanmar,9162
Serbia,9037
Ghana,8578
Belgium,8413
Sweden,8412
Hungary,8275
Argentina,8219
China,8218
Cameroon,8010
Cayman Islands,7914
Finland,7909
Guernsey,7881
Portugal,7699
Switzerland,7615
Cyprus,7590
Brazil,7059
Greece,6967
Cambodia,6948
Eswatini,6875
Samoa,6774
Lesotho,6437
Isle of Man,6434
Bahamas,6099
Mongolia,5732
Cook Islands,5581
Croatia,5377
Turkey,5349
Panama,4947
Mexico,4856
South Korea,4808
Fiji,4538
ICC World XI,3580
Slovenia,3357
Seychelles,2848
Belize,2656
Asia XI,2645
Africa XI,2645
Costa Rica,2548
Gambia,1941
Israel,1932
Suriname,1759
St Helena,1582
Mali,1420
Swaziland,926
Chile,866
Turks and Caicos Island,813
Ivory Coast,753
Barbados,690
Iran,211
